-973380;-1009425;-1037373;-1037373;-1047026;-1047026;-1047026;-1049472;-1052252;-1056506;-1058155;-1065457;-1065457;-1065457;-1071121;-1072750;-1076934;-1076934;-1076934;-1078607;-1079253;-1079253;-1079480;-1079812;-1086783;-1086783;-1086783;-1088762;-1088762;-1088762;-1088762;-1089728;-1091057;-1091308;-1091322;-1093840;-1093840;-1093997;-1094364;-1094885;-1094885;-1095114;-1095114;-1095114;-1095114;-1095114;-1095114;-1095114;-1095114
-948353;-1000930;-1019902;-1026918;-1038843;-1045225;-1049452;-1053044;-1062122;-1062122;-1062122;-1067266;-1068371;-1068371;-1070889;-1070889;-1070889;-1077853;-1077853;-1087626;-1087626;-1087626;-1087626;-1087626;-1087626;-1087626;-1087626;-1087626;-1087626;-1087626;-1088076;-1089844;-1091274;-1091274;-1093814;-1093814;-1094342;-1094611;-1094611;-1094636;-1095081;-1095081;-1095382;-1095382;-1095382;-1095382;-1095382;-1095382;-1095382
-951259;-999043;-1017136;-1023320;-1026896;-1049146;-1049146;-1049146;-1056239;-1056239;-1057600;-1060526;-1061474;-1063875;-1063875;-1074540;-1074540;-1076160;-1076160;-1076160;-1081411;-1081411;-1081411;-1081411;-1081411;-1081411;-1082532;-1084257;-1084257;-1085736;-1085736;-1090934;-1090934;-1090934;-1090934;-1092955;-1092955;-1094080;-1094080;-1094080;-1094080;-1094586;-1094586;-1094987;-1094987;-1094987;-1094987;-1094987;-1095137
-962423;-1009567;-1020545;-1039829;-1039829;-1052557;-1052557;-1057902;-1057902;-1057902;-1065828;-1065828;-1066890;-1069445;-1069991;-1069991;-1074166;-1074166;-1076287;-1079168;-1080068;-1082947;-1082947;-1082947;-1082947;-1082947;-1085331;-1086341;-1086341;-1089325;-1089770;-1089770;-1091768;-1091768;-1091861;-1094140;-1094142;-1094340;-1094340;-1094340;-1094812;-1094812;-1094812;-1095232;-1095232;-1095232;-1095232;-1095232;-1095232
-953078;-1012823;-1028916;-1032898;-1035398;-1044034;-1046364;-1057636;-1057636;-1057636;-1063689;-1063689;-1063689;-1064939;-1068906;-1070099;-1070880;-1071724;-1078201;-1078201;-1079017;-1079863;-1085302;-1085302;-1085302;-1085302;-1085302;-1088765;-1089189;-1089189;-1089189;-1089189;-1091032;-1091464;-1091464;-1092011;-1092011;-1092062;-1093737;-1093830;-1094720;-1094720;-1094720;-1094820;-1094965;-1095065;-1095065;-1095065;-1095065
-966345;-989615;-1000685;-1028364;-1040051;-1040051;-1048025;-1048025;-1061545;-1061545;-1072292;-1072292;-1072292;-1072292;-1072292;-1072292;-1072292;-1073521;-1075373;-1075373;-1081481;-1081481;-1081481;-1082487;-1083721;-1084605;-1084855;-1085659;-1087247;-1089747;-1091063;-1091063;-1091579;-1092259;-1093402;-1093402;-1093879;-1094394;-1094725;-1094725;-1094789;-1094789;-1095014;-1095014;-1095264;-1095264;-1095264;-1095264;-1095264
-952341;-1012123;-1021649;-1026527;-1033786;-1040233;-1040233;-1052410;-1054840;-1058517;-1061156;-1061156;-1062935;-1065833;-1074062;-1074062;-1074062;-1074062;-1075198;-1075858;-1075858;-1078516;-1080196;-1080196;-1080901;-1080901;-1082419;-1085397;-1085397;-1085397;-1087587;-1088419;-1088709;-1089933;-1090339;-1090339;-1092534;-1093074;-1093097;-1094274;-1094668;-1095039;-1095039;-1095264;-1095264;-1095264;-1095264;-1095264;-1095264
-948786;-1014077;-1026946;-1030058;-1030058;-1038027;-1041133;-1047507;-1047507;-1055416;-1056253;-1056253;-1057935;-1069531;-1069531;-1069531;-1069531;-1069531;-1069531;-1072168;-1073547;-1077699;-1077699;-1077699;-1080478;-1083562;-1083562;-1083656;-1088706;-1088706;-1088706;-1089180;-1089180;-1089180;-1090263;-1091416;-1091916;-1092081;-1093516;-1094931;-1094931;-1095232;-1095232;-1095232;-1095232;-1095232;-1095232;-1095232;-1095232
-980365;-994549;-1022016;-1027790;-1034338;-1052145;-1052145;-1053726;-1055212;-1057284;-1057460;-1057460;-1064882;-1064882;-1065531;-1066297;-1066297;-1074770;-1074770;-1074909;-1077517;-1077517;-1077517;-1084434;-1084434;-1084434;-1086702;-1086702;-1090674;-1090674;-1090674;-1090674;-1090674;-1091626;-1092304;-1092304;-1093966;-1094840;-1094840;-1094840;-1095202;-1095207;-1095295;-1095295;-1095295;-1095295;-1095295;-1095295;-1095445
-970641;-999315;-1006797;-1032544;-1032544;-1032544;-1046848;-1053745;-1053745;-1053745;-1054421;-1067856;-1068398;-1071618;-1071618;-1071618;-1072949;-1072949;-1072949;-1074270;-1076965;-1077570;-1077570;-1079491;-1079942;-1086547;-1086547;-1086547;-1086547;-1086616;-1088449;-1090324;-1090579;-1090579;-1091329;-1093934;-1093934;-1094840;-1095007;-1095007;-1095207;-1095232;-1095232;-1095232;-1095232;-1095232;-1095382;-1095382;-1095382
-989289;-997894;-1035598;-1035598;-1042933;-1042933;-1056455;-1056455;-1056455;-1061724;-1061724;-1061724;-1063687;-1070552;-1070955;-1072373;-1077032;-1077032;-1078428;-1078428;-1078428;-1079690;-1079690;-1079690;-1082160;-1082160;-1084107;-1085918;-1088922;-1088922;-1089963;-1092150;-1092150;-1092150;-1092504;-1094167;-1094167;-1094167;-1094167;-1094167;-1094317;-1094317;-1094322;-1094322;-1094322;-1094322;-1094322;-1094322;-1094417
-961931;-1003220;-1018915;-1032893;-1032893;-1036535;-1053168;-1053168;-1053168;-1056805;-1060893;-1062225;-1071938;-1071938;-1071938;-1071938;-1078887;-1078887;-1078887;-1078887;-1078887;-1078887;-1080055;-1082524;-1083299;-1083597;-1084697;-1086406;-1089466;-1089466;-1092262;-1092262;-1092262;-1092262;-1092707;-1092707;-1092707;-1094185;-1094185;-1094185;-1094185;-1094552;-1094552;-1094702;-1094702;-1094852;-1095062;-1095062;-1095382
-976866;-1006434;-1041073;-1049826;-1051688;-1051688;-1056487;-1056487;-1073623;-1073623;-1073623;-1073623;-1073623;-1074938;-1074938;-1074938;-1075097;-1075097;-1075097;-1075097;-1077249;-1077249;-1079148;-1082886;-1082886;-1082886;-1085613;-1085613;-1085613;-1085613;-1085802;-1087221;-1089529;-1089529;-1090054;-1090660;-1092098;-1092540;-1093435;-1093650;-1094017;-1094181;-1094482;-1094482;-1095382;-1095382;-1095382;-1095382;-1095382
-973584;-1018444;-1032133;-1066609;-1066609;-1066609;-1066609;-1066609;-1066609;-1066609;-1073741;-1073741;-1073741;-1073741;-1073741;-1073741;-1075936;-1075936;-1076398;-1076398;-1076398;-1076398;-1079632;-1081639;-1085364;-1086482;-1086482;-1086482;-1086482;-1087769;-1087912;-1088986;-1089102;-1089480;-1091754;-1091754;-1092209;-1093686;-1094146;-1094146;-1094291;-1094291;-1094291;-1094511;-1094511;-1094831;-1094831;-1095081;-1095081
-970530;-999080;-1023774;-1027170;-1036521;-1044316;-1044634;-1054097;-1057169;-1063495;-1065277;-1065277;-1065277;-1065277;-1073781;-1078148;-1078148;-1078148;-1078148;-1078459;-1082079;-1082079;-1083171;-1083171;-1083171;-1083171;-1085434;-1085434;-1085636;-1087545;-1087545;-1088436;-1088436;-1089359;-1089974;-1090751;-1092034;-1092848;-1093392;-1094542;-1094542;-1094670;-1095141;-1095141;-1095141;-1095141;-1095141;-1095141;-1095141
-961114;-999750;-1013594;-1027517;-1043785;-1043785;-1043785;-1046186;-1057167;-1057167;-1057167;-1057167;-1057167;-1060320;-1060633;-1066801;-1070075;-1070075;-1070075;-1070225;-1074442;-1081919;-1081919;-1081919;-1081919;-1081919;-1084308;-1084308;-1085384;-1085384;-1089254;-1089254;-1091507;-1092404;-1092404;-1092714;-1092809;-1093537;-1094711;-1094711;-1094899;-1095112;-1095112;-1095112;-1095206;-1095206;-1095206;-1095206;-1095206
