0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
-1160;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910;-1910
-55290;-59453;-62008;-62008;-66058;-66058;-66058;-66058;-66163;-66163;-66163;-66163;-66163;-66163;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673;-66673
-62304;-73348;-77013;-78508;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458;-80458
-79456;-84945;-87370;-87370;-90470;-93025;-93025;-93776;-93776;-93815;-93815;-93815;-94185;-94185;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255;-94255
-76507;-89602;-92052;-92052;-96847;-96847;-96847;-96847;-97027;-97027;-97027;-97697;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708;-97708
-46580;-73194;-80330;-80919;-83325;-83694;-83694;-83694;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804;-83804
-46638;-77758;-77783;-80583;-80583;-80788;-82843;-83183;-83183;-83673;-83673;-83673;-83673;-83688;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798;-83798
-80388;-90503;-95603;-95603;-96163;-98318;-100878;-100878;-100878;-100878;-100878;-104268;-104268;-104268;-104268;-104268;-104268;-104268;-104268;-104268;-104268;-104268;-104268;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868;-104868
-11858;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798;-22798
-78156;-85955;-100472;-101142;-101142;-101142;-101142;-101142;-101142;-101142;-101142;-101142;-101142;-101142;-101153;-101153;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632;-101632
-53583;-54963;-64713;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65463;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903;-65903
-60556;-67890;-91836;-93526;-93526;-93786;-93786;-93786;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276;-94276
-70465;-79105;-81965;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715;-82715
-30463;-45288;-50596;-50596;-52128;-52128;-52878;-53368;-54936;-54936;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266;-55266
-71513;-86885;-98945;-100364;-100843;-101114;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593;-101593
-29384;-53310;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789;-53789
-28958;-33508;-37802;-37802;-37802;-38483;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962;-38962
-37606;-51169;-51556;-53454;-53454;-53454;-55474;-55474;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224;-56224
-44358;-67325;-68713;-69223;-69223;-69223;-69223;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553;-69553
-34713;-52742;-56390;-56390;-60500;-60500;-60670;-60670;-60940;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160;-61160
