-28232;-38312;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;-39062;
-14818;-14818;-17895;-17895;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;-19793;
-30788;-35433;-36501;-36501;-36501;-36501;-37331;-37331;-37331;-37331;-37331;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;-37661;
-65802;-75697;-75697;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;-76207;
-61038;-76406;-82356;-88226;-88226;-90946;-90946;-91346;-91346;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-91716;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;-92276;
-48560;-76739;-79145;-79839;-82164;-82164;-82164;-82164;-82164;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;-82724;
-30167;-76992;-96467;-101347;-103947;-104737;-104737;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;-105897;
-40595;-49085;-53968;-56331;-59695;-61166;-61166;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;-61645;
-24269;-28199;-29969;-29969;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;-31919;
-53023;-63068;-85231;-88473;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-89441;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;-92193;
