-33663;-38321;-49691;-49761;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;-50201;
-29620;-30040;-34320;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;-34590;
-50263;-62175;-70115;-73215;-74005;-74005;-74005;-74005;-74655;-74655;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;-75165;
-39763;-82014;-83983;-87058;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;-90158;
-56610;-77877;-84410;-91250;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;-91465;
-36773;-52368;-54568;-54783;-56508;-56918;-56918;-56918;-56918;-56918;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;-57668;
-74900;-94737;-98442;-100832;-101567;-101567;-104617;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;-105057;
-44025;-86403;-92008;-95403;-95908;-98283;-98283;-98793;-99443;-99443;-99443;-99443;-99443;-99443;-99443;-99443;-99443;-99443;-99443;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;-99953;
-34338;-43956;-48666;-49326;-49596;-49596;-49596;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;-49886;
-67059;-81717;-83812;-83812;-85708;-86187;-86587;-86587;-86587;-86587;-86587;-86587;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;-86697;
