-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495;-43495
-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170;-68170
-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697;-83697
-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348;-23348
-62510;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230;-66230
-59335;-60623;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443;-61443
-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975;-58975
-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433;-65433
-56835;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000;-58000
-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155;-72155
