-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;-62431;
-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;-86573;
-65222;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;-65837;
-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;-52628;
-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;-56123;
-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;-71418;
-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;-62840;
-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;-55055;
-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;-56267;
-55540;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;-59260;
-63638;-64078;-64078;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;-64117;
