-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517;-77517
-82858;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083;-87083
-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830;-91830
-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940;-46940
-115568;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320;-118320
-94683;-94843;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173;-95173
-101130;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640;-103640
-95998;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558;-96558
-79631;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901;-79901
-94060;-98850;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410;-99410
-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980;-33980
-82911;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421;-83421
-33101;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541;-33541
-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651;-95651
-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800;-30800
