-620060;-620060;-311447;-330781;-365138;-393270;-439247;-448692;-448692;-449396;-464181;-464611;-497824;-497824;-497824;-497824;-498539;-514604;-514604;-521643;-521643;-538456;-546078;-547369;-549374;-555336;-567848;-567848;-567848;-577235;-582774;-582774;-582774;-588965;-594771;-598568;-605234;-606261;-611448;-614783;-615558;-616183;-617168;-617923;-617923;-620060;-620060;-620060;-620060
-618935;-170268;-326700;-364098;-382940;-390820;-439782;-455154;-466860;-466860;-486213;-486213;-492319;-502797;-516820;-544175;-544175;-544918;-544918;-544918;-548651;-548651;-549193;-561905;-561905;-569158;-569158;-571185;-575100;-578623;-588388;-593945;-593945;-594191;-604785;-606461;-610172;-610172;-610551;-610633;-612537;-615788;-616133;-616133;-618641;-618641;-618935;-618935;-618935
-620060;-240224;-356230;-356230;-375859;-410599;-421962;-442676;-454494;-470418;-484737;-492592;-523016;-523016;-523016;-523016;-536417;-546937;-546937;-547681;-554232;-554232;-554232;-555823;-555823;-571000;-574502;-574502;-578358;-588200;-588200;-590680;-590680;-593044;-600441;-600441;-600441;-601785;-605674;-608253;-610648;-613458;-615648;-617443;-619018;-619693;-620060;-620060;-620060
-619568;-305417;-333058;-355744;-412575;-426159;-434109;-447379;-447379;-462670;-464217;-476675;-476675;-499586;-512971;-536317;-536317;-536317;-541284;-541284;-541284;-568165;-568165;-568165;-568165;-576905;-576905;-576976;-576976;-583344;-585891;-585891;-588385;-589104;-597804;-599724;-606126;-606126;-607052;-608210;-612354;-612764;-613959;-616082;-617136;-618526;-618526;-618908;-619568
-620060;-317831;-332736;-354861;-365012;-425249;-425249;-439664;-454153;-495692;-495692;-519077;-519077;-519077;-519077;-531272;-531272;-531272;-531272;-531272;-536761;-536761;-536761;-537666;-540492;-542127;-550999;-550999;-551261;-553876;-553876;-565287;-565287;-582849;-582849;-582849;-584351;-595667;-609089;-609089;-611558;-612247;-613955;-616095;-618646;-620060;-620060;-620060;-620060
-617456;-331628;-331628;-345893;-355199;-370825;-403689;-426426;-435483;-478005;-485029;-485029;-485029;-485029;-491782;-506847;-544593;-544593;-544593;-544593;-548083;-548083;-551173;-577376;-577376;-577376;-582196;-586041;-587870;-587870;-587870;-593075;-594314;-596290;-596290;-603007;-604360;-605260;-608012;-609778;-612438;-615256;-615521;-616656;-617456;-617456;-617456;-617456;-617456
-619120;-244223;-391230;-391230;-391230;-419439;-428864;-428864;-437589;-471636;-471636;-471636;-496421;-496421;-496421;-522002;-522002;-524080;-540550;-540550;-546030;-552523;-558200;-561517;-561933;-578223;-578223;-578223;-578223;-584736;-585783;-585783;-589273;-596919;-601470;-601470;-604390;-608160;-609382;-614323;-616480;-616480;-617168;-617698;-619018;-619018;-619120;-619120;-619120
-619568;-239785;-290759;-344683;-382540;-396906;-436466;-449458;-482686;-482686;-487255;-487255;-493189;-501183;-507410;-507410;-515035;-527110;-527110;-545829;-545829;-546121;-555293;-555293;-557704;-575475;-575475;-575475;-582596;-582596;-586550;-586550;-594341;-594341;-601864;-604133;-604133;-609343;-609343;-612793;-612793;-615198;-615378;-617518;-619568;-619568;-619568;-619568;-619568
-617057;-617057;-352364;-352364;-397960;-397960;-397960;-409674;-434647;-465647;-488610;-488610;-488610;-488610;-512593;-512593;-512593;-530922;-530922;-550114;-550114;-553028;-553028;-553028;-556350;-556696;-564778;-571068;-572048;-585865;-585865;-585865;-591907;-594647;-598753;-605460;-607648;-610829;-610829;-611829;-612397;-613342;-615657;-615844;-617057;-617057;-617057;-617057;-617057
-619678;-619678;-279636;-355792;-355792;-366822;-392523;-411341;-459795;-459795;-466595;-482070;-499781;-499781;-508209;-508209;-508209;-524189;-524189;-524189;-551614;-551614;-551614;-551614;-562750;-563607;-574548;-581130;-581130;-588623;-588623;-588623;-588623;-597703;-597703;-599770;-602057;-612558;-612558;-612558;-614118;-616028;-617153;-617628;-617628;-619678;-619678;-619678;-619678
-620060;-620060;-278121;-297912;-365509;-396116;-396116;-435617;-451873;-451873;-472016;-482444;-486824;-493353;-502811;-502811;-502811;-511996;-511996;-517065;-533019;-533019;-536587;-559353;-566814;-566814;-567138;-567138;-567138;-580692;-580692;-583953;-592288;-592288;-598063;-598175;-608497;-608497;-608497;-614620;-615113;-615113;-616095;-618460;-618460;-620060;-620060;-620060;-620060
-619766;-250668;-346389;-414356;-414356;-418629;-433567;-441318;-463103;-463103;-473708;-505902;-505902;-533472;-533472;-533472;-564562;-564562;-564562;-564562;-564562;-568961;-568961;-568961;-568961;-568961;-568961;-582533;-582533;-591345;-591345;-593177;-595578;-596480;-599878;-599878;-605928;-605928;-605928;-612184;-614255;-617136;-617136;-618376;-619766;-619766;-619766;-619766;-619766
-623932;-246025;-357711;-368970;-415696;-454933;-454933;-454933;-454933;-463053;-466608;-469136;-482446;-499876;-500791;-507517;-507517;-514626;-516907;-528447;-528447;-528447;-540740;-550591;-564394;-564394;-569343;-577878;-577878;-577878;-577878;-588133;-589402;-593034;-600168;-607545;-607545;-610363;-611738;-615039;-617014;-618085;-621364;-622964;-622964;-623932;-623932;-623932;-623932
